2020	 5	25	     0
2020	 5	22	     1
2020	 5	25	     2
2020	 5	25	     3
2020	 6	15	     4
2020	 6	 3	     5
2020	 6	 8	     6
2020	 6	 8	     7
2020	 6	13	     8
2020	 5	30	     9
2020	 6	 1	     10
2020	 5	23	     11
2020	 6	 3	     12
2020	 5	25	     13
2020	 5	25	     14
2020	 5	26	     15
2020	 5	26	     16
2020	 6	20	     17
2020	 6	17	     18
2020	 6	 5	     19
2020	 6	22	     20
2020	 6	25	     21
2020	 6	25	     22
2020	 6	22	     23
2020	 6	23	     24
2020	 6	23	     25
2020	 6	25	     26
2020	 6	25	     27
2020	 7	10	     28
2020	 6	30	     29
2020	 7	 2	     30
2020	 7	 5	     31
2020	 7	 5	     32
2020	 7	 5	     33
2020	 7	 5	     34
2020	 7	 1	     35
2020	 6	 28	     36
2020	 7	 3	     37
2020	 6	 30	     38
2020	 6	 29	     39
2020	 7	 4	     40
2020	 6	 29	     41
2020	 7	 15	     42
2020	 7	 1	     44
2020	 7	 1	     45
2020	 6	 30	     48
2020	 6	 30	     52
